company_name,location,website,content,hr_phone,hr_email,company_address,approval_status,placement_status,submitted_by,approved_by,drive_date,offers_count
Google India,"Bengaluru, India",https://careers.google.com,"Design and implement scalable distributed software, algorithms, and core backend infrastructure.",+91 80 6721 8000,campus-recruitment@google.com,"Bengaluru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Microsoft India,"Hyderabad, India",https://careers.microsoft.com,"Develop high-throughput cloud microservices, Azure integrations, and hyper-scale telemetry tools.",+91 40 6695 0000,university-india@microsoft.com,"Hyderabad, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Amazon Development Centre,"Bengaluru, India",https://amazon.jobs,"Build fault-tolerant multi-tier architecture, automated order fulfillment engines, and distributed APIs.",+91 80 4103 0000,india-campus-hire@amazon.com,"Bengaluru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Amazon Web Services (AWS),"Bengaluru, India",https://aws.amazon.com/careers,"Triage complex AWS cloud infrastructure, configure VPCs, IAM policies, and infrastructure-as-code.",+91 80 4103 0001,aws-university-in@amazon.com,"Bengaluru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Adobe Systems,"Noida, India",https://adobe.com/careers,"Architect client-side rendering engines, WebAssembly integrations, and high-performance cloud assets.",+91 120 444 4700,india-ur@adobe.com,"Noida, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Cisco Systems,"Bengaluru, India",https://jobs.cisco.com,"Design and maintain zero-trust enterprise firewalls, automated telemetry, and SD-WAN networks.",+91 80 4426 0000,university-hiring@cisco.com,"Bengaluru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Qualcomm India,"Chennai, India",https://qualcomm.com/careers,"Develop low-level cryptographic microcode, ARM hardware security modules, and bootloader integrity.",+91 44 6612 0000,campus-india@qualcomm.com,"Chennai, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Salesforce India,"Hyderabad, India",https://salesforce.com/careers,"Build scalable multi-tenant Apex apps, Lightning Web Components, and enterprise CRM workflow pipelines.",+91 40 6902 0000,futureforce-india@salesforce.com,"Hyderabad, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
CrowdStrike India,"Pune, India",https://crowdstrike.com/careers,"Perform reverse engineering of malware payloads, identify threat actors, and author Falcon detections.",+91 20 6710 0000,university@crowdstrike.com,"Pune, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,2
Texas Instruments,"Bengaluru, India",https://ti.com/careers,"Design mixed-signal PCB architectures, embedded microcontrollers, and perform digital signal processing.",+91 80 2509 9000,india-campus@ti.com,"Bengaluru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Flipkart,"Bengaluru, India",https://flipkartcareers.com,"Design warehouse inventory dispatch engines, real-time tracking queues, and high-throughput Kafka streaming.",+91 80 4208 0000,campusrelations@flipkart.com,"Bengaluru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Palo Alto Networks,"Bengaluru, India",https://paloaltonetworks.com/careers,"Monitor enterprise SOC incidents, analyze firewall logs, and configure automated Cortex XSOAR playbooks.",+91 80 6112 0000,india-recruiting@paloaltonetworks.com,"Bengaluru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Infosys,"Mysuru, India",https://infosys.com/careers,"Develop complex full-stack microservices using Spring Boot, React, and containerized deployment workflows.",+91 821 240 4101,specialisthire@infosys.com,"Mysuru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Zoho Corporation,"Chennai, India",https://zoho.com/careers,"Perform SAST/DAST web vulnerability assessments, OAuth security hardening, and code remediation.",+91 44 6744 7070,recruitment@zohocorp.com,"Chennai, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,2
Deloitte USI,"Hyderabad, India",https://deloitte.com/careers,"Analyze IT architecture workflows, develop enterprise BI dashboards, and support ERP migrations.",+91 40 7125 0000,usiurrecruiting@deloitte.com,"Hyderabad, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Tata Consultancy Services,"Chennai, India",https://tcs.com/careers,"Implement cloud-native enterprise services, CI/CD automated build pipelines, and automated QA testing.",+91 44 6616 8888,campus.recruitment@tcs.com,"Chennai, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Wipro Digital,"Bengaluru, India",https://careers.wipro.com,"Coordinate incident response lifecycles, conduct vulnerability remediation, and manage endpoint security.",+91 80 2844 0011,manager.campus@wipro.com,"Bengaluru, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
Cognizant Technology Solutions,"Coimbatore, India",https://cognizant.com/careers,Build scalable frontend interfaces with React/Next.js and maintain PostgreSQL relational databases.,+91 422 664 5000,campusconnection@cognizant.com,"Coimbatore, India, India",APPROVED,DRIVE_COMPLETED,lead-1,sivasubramaniyan,2025-02-15,1
